Timestamp	Filename	Error	Message
2025-12-11 16:28:22.839 +0530	GoNext::10::Set Variable	102	Field referred to in the calculation “ExecuteSQL (    "SELECT TableNames_t FROM ZZ_DevTablesFieldsConfig WHERE \"___kp_PrimaryKey_t\" = ?" ;    "" ; "" ;    CorrespondentTablesList::g_SelectedBaseTable_t)” is missing.
2025-12-11 16:28:22.840 +0530	GoNext	0	script steps imported : 1
2025-12-11 16:28:22.842 +0530	FlexiReports.fmp12	0	Import completed
2025-12-11 16:30:29.606 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-11 16:30:29.616 +0530	SetTableAndFieldsJSON	0	script steps imported : 1
2025-12-11 16:30:29.619 +0530	FlexiReports.fmp12	0	Import completed
2025-12-11 16:30:38.507 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-11 16:30:38.515 +0530	SetTableAndFieldsJSON	0	script steps imported : 1
2025-12-11 16:30:38.516 +0530	FlexiReports.fmp12	0	Import completed
2025-12-11 16:43:04.366 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-11 16:43:04.370 +0530	EditeConfiguration	0	script steps imported : 1
2025-12-11 16:43:04.372 +0530	FlexiReports.fmp12	0	Import completed
2025-12-11 16:46:06.005 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-11 16:46:06.015 +0530	EditeConfiguration	0	script steps imported : 1
2025-12-11 16:46:06.018 +0530	FlexiReports.fmp12	0	Import completed
2025-12-11 16:47:41.901 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-11 16:47:41.913 +0530	GoNext	0	script steps imported : 14
2025-12-11 16:47:41.916 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 10:24:17.189 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 10:24:17.196 +0530	AssignFieldID	0	script steps imported : 1
2025-12-12 10:24:17.198 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 10:34:41.122 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 10:34:41.132 +0530	GoBack	0	script steps imported : 6
2025-12-12 10:34:41.135 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 10:35:59.562 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 10:35:59.569 +0530	GoBack	0	script steps imported : 1
2025-12-12 10:35:59.572 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 10:43:29.425 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 10:43:29.434 +0530	AssignFieldID	0	script steps imported : 1
2025-12-12 10:43:29.437 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 10:43:44.233 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 10:43:44.240 +0530	AssignFieldID	0	script steps imported : 1
2025-12-12 10:43:44.242 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 10:48:51.294 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 10:48:51.304 +0530	receiveJSON	0	script steps imported : 1
2025-12-12 10:48:51.306 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 11:18:03.941 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 11:18:03.950 +0530	AssignFieldID	0	script steps imported : 1
2025-12-12 11:18:03.952 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 11:56:38.225 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 11:56:38.231 +0530	GoNext	0	script steps imported : 1
2025-12-12 11:56:38.233 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 11:56:58.605 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 11:56:58.612 +0530	GoNext	0	script steps imported : 5
2025-12-12 11:56:58.614 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 12:10:48.608 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 12:10:48.615 +0530	GoNext	0	script steps imported : 3
2025-12-12 12:10:48.617 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 12:22:07.218 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 12:22:07.222 +0530	GoNext	0	script steps imported : 1
2025-12-12 12:22:07.223 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 12:25:56.184 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 12:25:56.195 +0530	GoNext	0	script steps imported : 4
2025-12-12 12:25:56.197 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 12:41:14.293 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 12:41:14.303 +0530	GoNext	0	script steps imported : 14
2025-12-12 12:41:14.305 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 12:47:59.936 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 12:47:59.943 +0530	GoNext	0	script steps imported : 1
2025-12-12 12:47:59.944 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 12:48:27.314 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 12:48:27.318 +0530	GoBack	0	script steps imported : 1
2025-12-12 12:48:27.321 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 13:11:12.473 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 13:11:12.484 +0530	EditeConfiguration	0	script steps imported : 7
2025-12-12 13:11:12.486 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 13:12:45.094 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 13:12:45.103 +0530	EditeConfiguration	0	script steps imported : 7
2025-12-12 13:12:45.106 +0530	FlexiReports.fmp12	0	Import completed
2025-12-12 13:17:06.139 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-12 13:17:06.150 +0530	EditeConfiguration	0	script steps imported : 7
2025-12-12 13:17:06.152 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 11:18:44.521 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 11:18:44.526 +0530	GenerateReportList	0	script steps imported : 1
2025-12-15 11:18:44.530 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 11:44:51.843 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 11:44:51.855 +0530	SetBaseKeyField	0	script steps imported : 3
2025-12-15 11:44:51.858 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 11:45:05.520 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 11:45:05.531 +0530	SetBaseTable	0	script steps imported : 5
2025-12-15 11:45:05.535 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 11:46:07.399 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 11:46:07.407 +0530	SetBaseKeyField	0	script steps imported : 8
2025-12-15 11:46:07.410 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:05:59.896 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:05:59.904 +0530	SetBaseTable	0	script steps imported : 1
2025-12-15 13:05:59.906 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:06:07.334 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:06:07.339 +0530	SetBaseTable	0	script steps imported : 4
2025-12-15 13:06:07.343 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:06:38.981 +0530	FlexiReports.fmp12	0	Import of scripts from clipboard started
2025-12-15 13:06:38.985 +0530	FlexiReports.fmp12	0	Script “SetBaseTable” imported as “SetBaseTable 2” since a script named “SetBaseTable” already exists.
2025-12-15 13:06:38.989 +0530	SetBaseTable 2	0	script steps imported : 9
2025-12-15 13:06:38.992 +0530	FlexiReports.fmp12	0	scripts imported : 1
2025-12-15 13:06:38.995 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:22:20.094 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:22:20.101 +0530	SetBaseTable	0	script steps imported : 2
2025-12-15 13:22:20.103 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:23:56.650 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:23:56.656 +0530	SetBaseTable	0	script steps imported : 3
2025-12-15 13:23:56.658 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:24:26.350 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:24:26.360 +0530	SycnTableFields	0	script steps imported : 3
2025-12-15 13:24:26.362 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:36:04.162 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:36:04.169 +0530	SetBaseTable	0	script steps imported : 1
2025-12-15 13:36:04.171 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 13:46:24.265 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
2025-12-15 13:46:24.267 +0530	SetBaseTableKeyName	0	script steps imported : 1
2025-12-15 13:46:24.268 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 15:07:44.321 +0530	FlexiReports.fmp12	0	Import operations started
2025-12-15 15:07:44.345 +0530	FlexiReports.fmp12	0	Import of value lists from clipboard started
2025-12-15 15:07:44.347 +0530	FlexiReports.fmp12	0	Value list “ConfigurationList” imported as “ConfigurationList 2” since a value list named “ConfigurationList” already exists.
2025-12-15 15:07:44.351 +0530	FlexiReports.fmp12	0	value lists imported : 1
2025-12-15 15:07:44.354 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 15:07:48.105 +0530	FlexiReports.fmp12	0	Import operations committed
2025-12-15 15:07:48.113 +0530	FlexiReports.fmp12	0	==================================================================
2025-12-15 16:34:57.322 +0530	FlexiReports.fmp12	0	Import operations started
2025-12-15 16:34:57.377 +0530	FlexiReports.fmp12	0	Import of fields from clipboard started
2025-12-15 16:34:57.382 +0530	zz_WebViewers	0	fields imported : 3
2025-12-15 16:34:57.384 +0530	FlexiReports.fmp12	0	Import completed
2025-12-15 16:35:09.964 +0530	FlexiReports.fmp12	0	Import operations committed
2025-12-15 16:35:09.971 +0530	FlexiReports.fmp12	0	==================================================================
2025-12-18 18:28:41.276 +0530	FlexiReports.fmp12	0	Import of script steps from clipboard started
